entry_ts,exit_ts,entry_price,exit_price,position,pnl,pnl_pct,regime,strategy,exit_reason,mae,mfe,pnl_R,reward_multiple,stop_distance_pct,take_profit_multiple,hold_time_hours,trade_type
2024-12-14 12:00:00+00:00,2024-12-15 23:00:00+00:00,1.0842,1.0996,13.99223000008527970609449476,0.2000944858932195339090337129,1.318981737686773657996679580,ranging,range_rsi_bb,signal_exit,-4.178195904814609850581073603,2.591772735657627743958679210,0.2008601630995087,1.5,6.566666666666666,1.5,35.0,long
2024-12-18 01:00:00+00:00,2024-12-18 11:00:00+00:00,1.0393,1.0502,14.62560371305344288216492473,0.1440592714528338017007480756,0.9477340517656114692581545272,ranging,range_rsi_bb,signal_exit,-2.443952660444529972096603483,1.568363321466371596266717983,0.14432498250237738,1.5,6.566666666666666,1.5,10.0,long
2024-12-18 20:00:00+00:00,2024-12-19 17:00:00+00:00,0.9778,0.9052,15.56759953947061593136543105,-1.144299517668695518158202282,-7.517406422581304970341583143,ranging,trend_macd,stop_loss,-9.869093884229903865821231336,2.168132542442217222335856003,-1.1447827039463916,1.5,6.566666666666666,1.5,21.0,long
2024-12-20 02:00:00+00:00,2024-12-20 08:00:00+00:00,0.9155,0.842,16.43949088153365803382347148,-1.222144631114975205550504517,-8.120371381758601856908793011,trending_down,trend_macd,stop_loss,-8.640087383943200436919716002,0.1638448935008192244675040961,-1.2366047789480104,1.5,6.566666666666666,1.5,6.0,long
2024-12-20 14:00:00+00:00,2024-12-20 22:00:00+00:00,0.8549,0.9451,17.39037572508693139447047896,1.552176246305061552920323152,10.44039068896947011346356299,trending_down,trending_ema_crossover,take_profit,-0.05848637267516668616212422506,10.91355714118610363785238040,1.5899072115181934,1.5,6.566666666666666,1.5,8.0,long
2024-12-22 14:00:00+00:00,2024-12-23 03:00:00+00:00,0.8788,0.9089,17.18236076959783441291631876,0.5015720114614073441308815526,3.321700045516613563950842057,ranging,range_rsi_bb,signal_exit,-2.264451524806554392353208921,3.766499772416932180245789713,0.5058426465253726,1.5,6.566666666666666,1.5,13.0,long
2024-12-24 15:00:00+00:00,2024-12-25 23:00:00+00:00,0.9446,0.9176,16.06510104387231418980573065,-0.4484990649024097186253204660,-2.955494389159432564048274402,ranging,range_rsi_bb,signal_exit,-4.721575269955536735125979250,0.5716705483802667795892441245,-0.4500752876892537,1.5,6.566666666666666,1.5,32.0,long
2024-12-26 03:00:00+00:00,2024-12-27 08:00:00+00:00,0.9002,0.8742,16.78273670996048269928537558,-0.4510226228908200041571350404,-2.985358809153521439680071095,ranging,range_rsi_bb,signal_exit,-5.498778049322372806043101533,0,-0.45462316890662763,1.5,6.566666666666666,1.5,29.0,long
2024-12-27 09:00:00+00:00,2024-12-27 17:00:00+00:00,0.9018,0.8934,16.67793989007851355652375786,-0.1549947665744556578861978913,-1.030538922155688622754491018,ranging,range_rsi_bb,signal_exit,-4.080727434020847194499889111,0.7429585273896651142160124196,-0.15693486124198303,1.5,6.566666666666666,1.5,8.0,long
2024-12-29 13:00:00+00:00,2024-12-30 01:00:00+00:00,0.9072,0.8877,16.55303899678861902181458902,-0.3374783931548273280310492966,-2.247321428571428571428571429,ranging,range_rsi_bb,signal_exit,-6.194885361552028218694885362,0.3306878306878306878306878307,-0.3422316896301668,1.5,6.566666666666666,1.5,12.0,long
2024-12-30 13:00:00+00:00,2024-12-30 18:00:00+00:00,0.8432,0.8671,17.74940135070376076540030569,0.4088201863706246513333887009,2.731605787476280834914611005,ranging,range_rsi_bb,signal_exit,-1.612903225806451612903225806,3.166508538899430740037950664,0.4159805767730377,1.5,6.566666666666666,1.5,5.0,long
2025-01-01 15:00:00+00:00,2025-01-02 10:00:00+00:00,0.877,0.9666,17.13525455743330076976687123,1.518755871290808720447055004,10.10643101482326111744583808,ranging,trending_ema_crossover,take_profit,-0.1140250855188141391106043330,10.84378563283922462941847206,1.53905040834872,1.5,6.566666666666666,1.5,19.0,long
2025-01-05 07:00:00+00:00,2025-01-05 12:00:00+00:00,1.0934,1.0782,13.95228793448200666101390554,-0.2271181334550850008293165572,-1.488768977501371867569050668,ranging,range_rsi_bb,signal_exit,-2.323029083592463874154014999,0.2377903786354490579842692519,-0.22671608794437134,1.5,6.566666666666666,1.5,5.0,long
2025-01-06 16:00:00+00:00,2025-01-07 01:00:00+00:00,1.1058,1.0919,13.76502433310215530206927729,-0.2063638682994342020730923982,-1.355751492132392837764514378,ranging,range_rsi_bb,signal_exit,-1.853861457768131669379634654,0.6330258636281425212515825647,-0.20645961809122734,1.5,6.566666666666666,1.5,9.0,long
2025-01-07 08:00:00+00:00,2025-01-07 15:00:00+00:00,1.1391,1.0452,13.33544844816034430929439292,-1.266136820000273522514817994,-8.335106663155122465104029490,ranging,range_rsi_bb,stop_loss,-9.788429461855851110525853744,1.123694144500043894302519533,-1.2693055832215923,1.5,6.566666666666666,1.5,7.0,long
2025-01-07 16:00:00+00:00,2025-01-08 06:00:00+00:00,1.0428,0.9625,14.38481856952378900492905665,-1.168946319005926904013047466,-7.792721518987341772151898736,ranging,trend_macd,stop_loss,-7.767548906789413118527042578,0.4986574606827771384733410050,-1.1867088607594938,1.5,6.566666666666666,1.5,14.0,long
2025-01-08 09:00:00+00:00,2025-01-08 16:00:00+00:00,0.9844,0.9473,15.06008416949260274150554973,-0.5729955404219359042868841023,-3.865024380333197887037789518,trending_down,trend_macd,stop_loss,-3.799268590004063388866314506,1.574563185696871190572937830,-0.5885823929441418,1.5,6.566666666666666,1.5,7.0,long
2025-01-08 23:00:00+00:00,2025-01-09 10:00:00+00:00,0.9468,0.9088,15.56738226170809859853721011,-0.6057081629443480667507646008,-4.109505703422053231939163499,trending_down,trend_macd,stop_loss,-5.280946345585128855090832277,1.436417405999155048584706379,-0.6258130512825462,1.5,6.566666666666666,1.5,11.0,long
2025-01-09 15:00:00+00:00,2025-01-10 13:00:00+00:00,0.9292,0.9212,15.76446545516958194477229427,-0.1406379492186588744457025917,-0.9600947051226861816616444254,trending_down,trending_ema_crossover,stop_loss,-4.918209212225570383125269049,4.821351700387430047352561343,-0.14620731550091667,1.5,6.566666666666666,1.5,22.0,long
2025-01-11 20:00:00+00:00,2025-01-13 10:00:00+00:00,0.9884,0.9153,14.79891299935327469841719998,-1.095345985321032432785758582,-7.488395386483205180089032783,ranging,range_rsi_bb,stop_loss,-7.891541885876163496560097127,4.906920275192229866450829624,-1.1403647796674932,1.5,6.566666666666666,1.5,38.0,long
2025-01-13 11:00:00+00:00,2025-01-14 09:00:00+00:00,0.8937,0.9842,16.18321999637755605572081982,1.448653884551734032372693763,10.01631419939577039274924472,ranging,range_rsi_bb,take_profit,-2.002909253664540673604117713,10.80899630748573346760657939,1.5253270354409803,1.5,6.566666666666666,1.5,22.0,long
2025-01-15 01:00:00+00:00,2025-01-15 11:00:00+00:00,1.0174,1.0025,14.42917416300902491827560520,-0.2294599421272510187628778117,-1.563052879889915470807941813,trending_up,trending_ema_crossover,stop_loss,-2.368783172793394928248476509,4.020051110674267741301356399,-0.23802835734364194,1.5,6.566666666666666,1.5,10.0,long
2025-01-18 05:00:00+00:00,2025-01-19 14:00:00+00:00,1.0601,1.0839,13.81551061421214441943134521,0.3138345206635044938462443809,2.142826148476558815206112630,ranging,range_rsi_bb,signal_exit,-5.093859069899066125837185171,8.668993491180077351193283652,0.32631870281368913,1.5,6.566666666666666,1.5,33.0,long
2025-01-19 21:00:00+00:00,2025-01-20 06:00:00+00:00,1.0163,1.0605,14.45724488854257598456765298,0.6236783158692824566862562657,4.244760405392108629341729805,ranging,range_rsi_bb,signal_exit,-5.598740529371248647053035521,5.775853586539407655219915379,0.6464102140191028,1.5,6.566666666666666,1.5,9.0,long
2025-01-21 11:00:00+00:00,2025-01-21 20:00:00+00:00,1.0002,1.0087,14.78349302900041225916721072,0.1107475813281507883570993256,0.7489802039592081583683263344,trending_down,range_rsi_bb,stop_loss,-2.239552089582083583283343331,2.859428114377124575084983003,0.11405789908008246,1.5,6.566666666666666,1.5,9.0,long
2025-01-23 01:00:00+00:00,2025-01-23 20:00:00+00:00,0.9697,0.9811,15.26560984304984527160215434,0.1590508623937520329002956859,1.074445704857172321336495824,ranging,range_rsi_bb,signal_exit,-1.907806538104568423223677426,4.341548932659585438795503764,0.1636211733285034,1.5,6.566666666666666,1.5,19.0,long
2025-01-24 22:00:00+00:00,2025-01-25 11:00:00+00:00,0.9701,0.9797,15.28390835394752887826786250,0.1317518751835338831893324551,0.8885991134934542830636016906,ranging,range_rsi_bb,signal_exit,-0.6081847232244098546541593650,2.020410266982785279868054840,0.1353196619533179,1.5,6.566666666666666,1.5,13.0,long
2025-01-26 07:00:00+00:00,2025-01-26 10:00:00+00:00,0.9926,0.9871,14.95736678968570204239981189,-0.09702993410137011771925181972,-0.6535462421922224461011484990,ranging,range_rsi_bb,signal_exit,-1.360064477130767680838202700,0.1914164819665524884142655652,-0.0995248084556684,1.5,6.566666666666666,1.5,3.0,long
2025-01-26 22:00:00+00:00,2025-01-27 06:00:00+00:00,0.9718,0.8933,15.26253116415602215438173030,-1.211742715475188313709475029,-8.169715990944638814570899365,ranging,trend_macd,stop_loss,-8.540852027166083556287301914,0,-1.24411918643827,1.5,6.566666666666666,1.5,8.0,long
2025-01-27 14:00:00+00:00,2025-01-27 23:00:00+00:00,0.9241,0.9345,15.85365910399907378267692268,0.1500628102489032328899284117,1.024293907585759116978681961,trending_down,range_rsi_bb,stop_loss,-3.246401904555784006059950222,2.456444107780543231252029001,0.15598384379478566,1.5,6.566666666666666,1.5,9.0,long
2025-01-28 20:00:00+00:00,2025-01-29 03:00:00+00:00,0.9189,0.9399,15.96787006153322403689763143,0.3203170702213626275025701762,2.183055827619980411361410382,ranging,range_rsi_bb,signal_exit,-1.719447165088693002502992709,2.470344977690717161823919904,0.3324450498913676,1.5,6.566666666666666,1.5,7.0,long
2025-01-29 20:00:00+00:00,2025-01-30 22:00:00+00:00,0.9509,0.966,15.48104254924396252143297827,0.2188090553910141662779337149,1.486381322957198443579766537,ranging,range_rsi_bb,signal_exit,-1.535387527605426438111263014,3.964665054159217583342096961,0.2263524857295226,1.5,6.566666666666666,1.5,26.0,long
2025-01-31 02:00:00+00:00,2025-01-31 11:00:00+00:00,0.9443,0.9742,15.62400160794740663620915927,0.4519367457111650948776588992,3.063200254156518055702636874,ranging,range_rsi_bb,signal_exit,-0.8789579582759716191888171132,3.378163719157047548448586254,0.4664771960644444,1.5,6.566666666666666,1.5,9.0,long
2025-02-01 09:00:00+00:00,2025-02-02 12:00:00+00:00,0.9235,0.8585,16.04930723361278922664207681,-1.056983300444887879282807216,-7.131402273957769355711965354,ranging,trend_macd,stop_loss,-7.092582566323768272874932323,1.418516513264753654574986465,-1.0860003462879853,1.5,6.566666666666666,1.5,27.0,long
2025-02-03 09:00:00+00:00,2025-02-03 15:00:00+00:00,0.6913,0.7654,21.21074459015576112962756669,1.555481470221236680136785752,10.60821640387675394184869087,trending_down,trend_macd,take_profit,-2.705048459424273108635903370,12.13655431795168523072472154,1.6154644269863077,1.5,6.566666666666666,1.5,6.0,long
2025-02-06 15:00:00+00:00,2025-02-07 08:00:00+00:00,0.711,0.7202,20.95120950169882302522089270,0.1776620663325056794892681259,1.192658227848101265822784810,ranging,range_rsi_bb,signal_exit,-1.856540084388185654008438819,3.094233473980309423347398031,0.18162308038295957,1.5,6.566666666666666,1.5,17.0,long
2025-02-07 13:00:00+00:00,2025-02-07 18:00:00+00:00,0.7438,0.7249,20.06313426412710274651175710,-0.3937370036200679786900185819,-2.638464641032535627856950793,ranging,range_rsi_bb,signal_exit,-3.818230707179349287442860984,1.263780586179080397956439903,-0.4017966458425181,1.5,6.566666666666666,1.5,5.0,long
2025-02-07 20:00:00+00:00,2025-02-08 17:00:00+00:00,0.6968,0.6992,21.33165716864915158733057140,0.03628088251243847701973183584,0.2440872560275545350172215844,ranging,range_rsi_bb,signal_exit,-2.195752009184845005740528129,3.042479908151549942594718714,0.03717064812602353,1.5,6.566666666666666,1.5,21.0,long
2025-02-09 13:00:00+00:00,2025-02-10 00:00:00+00:00,0.6804,0.6931,21.85382252717753468195899753,0.2623966617015679411728134874,1.764682539682539682539682539,ranging,range_rsi_bb,signal_exit,-4.423868312757201646090534979,2.660199882422104644326866549,0.2687333816775441,1.5,6.566666666666666,1.5,11.0,long
2025-02-11 00:00:00+00:00,2025-02-12 16:00:00+00:00,0.7426,0.7855,20.07635382001997008992839205,0.8455056029532310303522892669,5.671222730945327228656073254,ranging,range_rsi_bb,signal_exit,-1.090762186910853757069754915,10.59789927282520872609749529,0.8636379793317758,1.5,6.566666666666666,1.5,40.0,long
2025-02-13 20:00:00+00:00,2025-02-15 02:00:00+00:00,0.8078,0.8133,18.61293165039590795163860775,0.08723322676591050179694466292,0.5801807378063877197326070808,ranging,range_rsi_bb,signal_exit,-2.314929437979697945035899975,2.859618717504332755632582322,0.08835239662026209,1.5,6.566666666666666,1.5,30.0,long
