section,meta_asset,meta_mode,meta_final_equity,meta_total_return_pct,meta_total_trades,meta_winrate,meta_sharpe,meta_max_dd,meta_max_dd_pct,meta_regime_changes,risk_expectancy_R,risk_avg_R_win,risk_avg_R_loss,risk_winrate_pct,risk_lossrate_pct,risk_mean_return_pct,risk_volatility_pct,risk_sortino,risk_mar,streaks_longest_win_streak,streaks_longest_loss_streak,regime_candles,regime_pnl,regime_pnl_pct,regime_trades,regime_winrate,regime_lossrate,regime_expectancy_R,regime_avg_R_win,regime_avg_R_loss
overall,ADAUSDT_1h,balanced,99.00091806169688,-0.9990819383031208,217.0,53.9,-0.12,10.39757259729177,9.73398746328634,242.0,-0.0014843573069253657,0.5082922258358397,-0.5979229595839605,53.91705069124424,46.08294930875576,-0.009747279648809566,5.337828859943899,-0.001968558506257093,-0.1044162773933249,7.0,8.0,,,,,,,,,
regime_trending_up,,,,,,,,,,,,,,,,,,,,,,1344.0,1.2709265058223416,1.2709265058223416,3.0,33.33333333333333,66.66666666666666,0.41101785334044105,1.5096306954058847,-0.1382885676922806
regime_ranging,,,,,,,,,,,,,,,,,,,,,,4705.0,-2.025951691352871,-2.025951691352871,170.0,55.294117647058826,44.70588235294118,-0.007976659327287194,0.5090970241326743,-0.6475151625540817
regime_trending_down,,,,,,,,,,,,,,,,,,,,,,1778.0,-0.2440567527725911,-0.2440567527725911,44.0,50.0,50.0,-0.004525613863302191,0.45933815722345356,-0.46838938495005794
