section,meta_asset,meta_mode,meta_final_equity,meta_total_return_pct,meta_total_trades,meta_winrate,meta_sharpe,meta_max_dd,meta_max_dd_pct,meta_regime_changes,risk_expectancy_R,risk_avg_R_win,risk_avg_R_loss,risk_winrate_pct,risk_lossrate_pct,risk_mean_return_pct,risk_volatility_pct,risk_sortino,risk_mar,streaks_longest_win_streak,streaks_longest_loss_streak,regime_candles,regime_pnl,regime_pnl_pct,regime_trades,regime_winrate,regime_lossrate,regime_expectancy_R,regime_avg_R_win,regime_avg_R_loss
overall,XRPUSDT_1h,balanced,108.9862267555597,8.9862267555597,67.0,49.3,9.57,12.523493225202586,11.318661361658723,74.0,0.13468430867320663,0.8941450220691273,-0.6024393249169516,49.25373134328358,50.74626865671642,0.8844269602873903,6.13083548743702,0.1928223214561053,1.2307302999139793,4.0,4.0,,,,,,,,,
regime_ranging,,,,,,,,,,,,,,,,,,,,,,1133.0,1.9486738164396311,1.9486738164396313,23.0,56.52173913043478,43.47826086956522,0.08838676482708457,0.830714596089715,-0.8766394158143349
regime_trending_up,,,,,,,,,,,,,,,,,,,,,,370.0,-0.09961502827424382,-0.0996150282742438,3.0,33.33333333333333,66.66666666666666,-0.02951012183140614,0.29780033840947545,-0.19316535195184695
regime_trending_down,,,,,,,,,,,,,,,,,,,,,,3447.0,7.137167967394314,7.137167967394315,41.0,46.34146341463415,53.65853658536586,0.1726703281847835,0.9689313495108124,-0.5150096447786051
