strategy_name,asset,timeframe,mode,use_router,position_pct,risk_pct,reward_rr,candles_available,total_candles,final_equity,total_return_pct,total_trades,winrate,sharpe,max_dd,max_dd_pct,regime_changes,expectancy_R,avg_R_win,avg_R_loss,winrate_pct,lossrate_pct,mean_return_pct,volatility_pct,sortino,mar,max_dd_pct_report,reg_trending_down_candles,reg_trending_down_candles_frac,reg_trending_down_pnl_pct,reg_trending_down_trades,reg_trending_down_winrate,reg_trending_down_expectancy_R,reg_trending_down_avg_R_win,reg_trending_down_avg_R_loss,reg_ranging_candles,reg_ranging_candles_frac,reg_ranging_pnl_pct,reg_ranging_trades,reg_ranging_winrate,reg_ranging_expectancy_R,reg_ranging_avg_R_win,reg_ranging_avg_R_loss,reg_trending_up_candles,reg_trending_up_candles_frac,reg_trending_up_pnl_pct,reg_trending_up_trades,reg_trending_up_winrate,reg_trending_up_expectancy_R,reg_trending_up_avg_R_win,reg_trending_up_avg_R_loss,regime_std,regime_cv,worst_regime_E,trade_density,expectancy_per_dd,stability_score,fitness_score
range_mean_reversion,ADAUSDT,1h,balanced,False,15.0,1.0,,7877,7827,93.71689546010404,-6.283104539895958,605,13.2,-1.53,8.205469185727594,8.072122347186705,242,-0.00997885063304181,0.5976874217620427,-0.10257561595038803,13.223140495867769,86.77685950413223,-0.06552778582364124,2.830368045675578,-0.031068968347685716,-0.7872369775901308,8.072122347186705,1778,0.227162386610451,5.645321533857049,37,54.054054054054056,0.16386975509571228,0.9252984691383137,-0.7319287320132305,4705,0.6011243132745624,-11.01955674930087,370,15.135135135135137,-0.03010233924866962,0.4798502525244581,-0.12104929829101087,1344,0.1717133001149866,-0.9088693244521387,198,2.0202020202020203,-0.004861212371332744,0.6093525542068721,-0.017525413744079236,0.08610873439549724,0.8610873439549723,-0.03010233924866962,0.07729653762616584,-0.1236211519578818,0.1343300736593739,-0.0013404597405723964
range_mean_reversion,BTCUSDT,1h,balanced,False,15.0,1.0,,8100,8050,94.56341462697253,-5.436585373027472,641,12.3,-2.99,6.09183116426361,6.061583586080201,262,-0.008670753855978229,0.2524189433337902,-0.04537197463532291,12.324492979719189,87.6755070202808,-0.05693795032092377,1.2623619060540947,-0.05173546665247751,-0.909604248939189,6.061583586080201,1827,0.22695652173913045,1.9947298409711212,26,53.84615384615385,0.0824564469677294,0.3515650272269365,-0.2315035633346789,4644,0.5768944099378882,-4.4367640799348536,380,14.210526315789473,-0.012170278807223933,0.2343347022456389,-0.05300239223315828,1579,0.19614906832298137,-2.99455113406374,235,4.680851063829787,-0.0130941059408422,0.21501020190252867,-0.024295656772436305,0.04482680107132682,0.44826801071326816,-0.0130941059408422,0.07962732919254659,-0.1430443667540891,0.17261998342204332,-0.00149674538687558
range_mean_reversion,XRPUSDT,1h,balanced,False,15.0,1.0,,7788,7738,91.20316081077357,-8.796839189226427,657,11.1,-2.08,15.535834859236672,14.603618581874905,242,-0.013341912028833197,0.6254449060637893,-0.09319026429041101,11.11111111111111,88.88888888888889,-0.08761188898933804,2.7933208873216615,-0.04258951682208447,-0.6091404343245059,14.603618581874905,1847,0.23869216851899716,3.0829127134242347,44,50.0,0.07696339927558565,0.9164985861696827,-0.7625717876185114,4390,0.5673300594468855,-14.116816194614204,362,12.70718232044199,-0.04056977689344409,0.3813459193320148,-0.10198788457183368,1501,0.19397777203411734,2.2370642919635424,251,1.9920318725099602,0.010096547666763288,1.590519391530183,-0.02202586785891597,0.04813441802667092,0.48134418026670917,-0.04056977689344409,0.08490566037735849,-0.09136031562336434,0.14631328846440392,-0.0019520990233413721
range_rsi_bb,ADAUSDT,1h,balanced,False,15.0,1.0,,7877,7827,104.86079595751777,4.8607959575177695,260,54.6,1.8,13.079754327751289,12.071885013884353,242,0.02160313094191635,0.5158299311092309,-0.5731443743441741,54.61538461538461,45.38461538461539,0.14186055985191717,5.212103937834142,0.02947122306795021,0.4075093960965149,12.071885013884353,1778,0.227162386610451,2.002127669660428,47,59.57446808510638,0.04602346877288871,0.5542757296339015,-0.7029798630222881,4705,0.6011243132745624,-1.6481466252021797,182,53.84615384615385,-0.006163355186134201,0.4756720879888574,-0.5683047055569578,1344,0.1717133001149866,4.506814913059522,31,51.61290322580645,0.14759489214351315,0.6945165728033452,-0.43578823389364096,0.06384165938941758,0.6384165938941757,-0.006163355186134201,0.03321834674843491,0.17895408146341463,0.5709162843946493,0.01233357924864996
range_rsi_bb,BTCUSDT,1h,balanced,False,15.0,1.0,,8100,8050,96.02327917356318,-3.976720826436812,250,49.6,-3.72,6.749686729541011,6.580757800033562,262,-0.01607535796788978,0.17890058721629012,-0.20795644687930492,49.6,50.4,-0.10556151732247648,1.878713592811881,-0.05018408633102872,-0.6129277599924806,6.580757800033562,1827,0.22695652173913045,-1.3898070766698762,38,57.89473684210527,-0.0375071106176688,0.16334041006636887,-0.31367245155822066,4644,0.5768944099378882,-1.595276271975105,185,48.64864864864865,-0.008740107913324954,0.17987688071124108,-0.18742988661028226,1579,0.19614906832298137,-0.9916374777918312,27,44.44444444444444,-0.03617219720503406,0.20010537744567983,-0.22519425692560516,0.01325745895427786,0.1325745895427786,-0.0375071106176688,0.031055900621118012,-0.24427821926234383,0.22073601359970935,-0.0035484104350203146
range_rsi_bb,XRPUSDT,1h,balanced,False,15.0,1.0,,7788,7738,121.16364455254654,21.163644552546547,262,50.0,6.49,29.507092891999292,22.78415199745572,242,0.0774561160475861,0.5974003885557347,-0.44248815646056255,50.0,50.0,0.5086284953791489,5.187969593327097,0.12190233872899263,0.9409080024382287,22.78415199745572,1847,0.23869216851899716,-0.6188114089500191,46,52.17391304347826,-0.013207974319685178,0.582233072013718,-0.6627800248652158,4390,0.5673300594468855,3.743684880266517,176,50.56818181818182,0.024221911295124937,0.44868546870196235,-0.4099994290406053,1501,0.19397777203411734,18.03877108123005,40,45.0,0.4159503208807773,1.3529361365554096,-0.3506744373984672,0.19408731870904847,1.9408731870904845,-0.013207974319685178,0.033858878263117086,0.3399561065789744,0.23843062020358652,0.018467909787786924
ranging_stochastic,ADAUSDT,1h,balanced,False,15.0,1.0,,7877,7827,97.61730204637112,-2.3826979536288735,138,55.8,-0.8,16.36866473027105,14.469640424745375,242,-0.01246797635389496,0.7171040005843934,-0.9334030947841934,55.79710144927537,44.20289855072464,-0.08187304472391063,6.819027266260977,-0.011047897855808966,-0.16704093753948043,14.469640424745375,1778,0.227162386610451,-7.611478867095807,45,55.55555555555556,-0.1561762100883196,0.6113953577090399,-1.115640669835019,4705,0.6011243132745624,-0.6769122014460965,78,55.12820512820513,-0.006667710645909319,0.6759468981185442,-0.8453085156993808,1344,0.1717133001149866,5.90569311491303,15,60.0,0.3884953431678527,1.2073786092416536,-0.8398295559428486,0.2297761547031349,2.2977615470313486,-0.1561762100883196,0.01763127635109237,-0.08616645602728833,0.06051860371346864,-0.0007545445200702668
ranging_stochastic,BTCUSDT,1h,balanced,False,15.0,1.0,,8100,8050,96.53319101829732,-3.4668089817026857,118,59.3,-4.56,5.508942805355034,5.472091672442122,262,-0.029452518136481004,0.22889520413861913,-0.406209613121002,59.32203389830508,40.67796610169492,-0.1934048690962252,2.8133548868104366,-0.051767149626022246,-0.6408699454800897,5.472091672442122,1827,0.22695652173913045,-0.2991114536510142,26,53.84615384615385,-0.009885470422133974,0.28602938154828517,-0.355119464387623,4644,0.5768944099378882,0.7988117640188654,73,63.013698630136986,0.011631206781033326,0.22175423465551883,-0.3463561740421641,1579,0.19614906832298137,-3.9665092920705374,19,52.63157894736842,-0.21407647390235315,0.18175581538734814,-0.6538901286686879,0.10170812838684676,1.0170812838684675,-0.21407647390235315,0.014658385093167702,-0.5382314460265014,0.09658886221642277,-0.002844785216211256
ranging_stochastic,XRPUSDT,1h,balanced,False,15.0,1.0,,7788,7738,107.95670438142946,7.95670438142946,120,55.8,4.64,12.943122994561605,11.46000829042286,242,0.06959462981092684,0.7367259872000472,-0.7737601050017349,55.833333333333336,44.166666666666664,0.45700473575841954,6.53290193447569,0.07558780720140036,0.7048254476771605,11.46000829042286,1847,0.23869216851899716,6.732490385098239,34,64.70588235294117,0.19266707321736515,0.7647431054919135,-0.8561389859526399,4390,0.5673300594468855,3.7861436919124127,76,55.26315789473685,0.05363871595666281,0.7038248611041121,-0.7495324045195982,1501,0.19397777203411734,-2.561929695581191,10,30.0,-0.227586732478556,0.991882885069458,-0.750216568570562,0.1748109766996291,1.748109766996291,-0.227586732478556,0.015507883173946756,0.6072825433214316,0.2752061814717122,0.019152872321202566
trend_macd,ADAUSDT,1h,balanced,False,15.0,1.0,,7877,7827,95.8454728602085,-4.154527139791497,101,28.7,-2.33,9.629181794017128,9.220488037052652,242,-0.037221334652233096,1.28876032749279,-0.5712972819050895,28.71287128712871,71.28712871287128,-0.2444200975496638,6.981713142246766,-0.057962361279320355,-0.4557671384464322,9.220488037052652,1778,0.227162386610451,-0.45262944985152065,80,32.5,-0.0019737766129949152,1.2397801912440125,-0.5998553166922947,4705,0.6011243132745624,-2.1073028524760145,3,0.0,-0.7086889161044917,0.0,-0.7086889161044917,1344,0.1717133001149866,-1.594594837463962,18,16.666666666666664,-0.08196588458458215,1.7132548416488582,-0.4410100298312701,0.3159864244555328,3.159864244555328,-0.7086889161044917,0.012904050083045867,-0.403680743390791,0.03978909686679053,-0.0014810032899889296
